,SID,X,Private,Class,Sex,Condition,Item,Soph_pre,Correct_pre,Soph_post,Correct_post,Theta
41,956010102,41,1,1,M,LT,Q,NA,NA,0,0,1.426023
42,956010102,42,1,1,M,LT,U,NA,NA,1,1,1.426023
43,956010102,43,1,1,M,LT,V,NA,NA,H,0,1.426023
44,956010102,44,1,1,M,LT,X,NA,NA,2,0,1.426023
45,956010102,45,1,1,M,LT,X15,H,0,2,1,1.426023
46,956010102,46,1,1,M,LT,X21,NA,NA,3,0,1.426023
47,956010102,47,1,1,M,LT,X31.1,NA,NA,2,1,1.426023
48,956010102,48,1,1,M,LT,X32,NA,NA,1,0,1.426023
49,956010102,49,1,1,M,LT,X33,H,0,2,1,1.426023
50,956010102,50,1,1,M,LT,X37,NA,NA,1,0,1.426023
51,956010102,51,1,1,M,LT,X50,NA,NA,0,0,1.426023
52,956010102,52,1,1,M,LT,Z,NA,NA,0,1,1.426023
53,956010104,53,1,1,M,BAU,B,H,1,H,1,1.061054
54,956010104,54,1,1,M,BAU,C,H,1,H,1,1.061054
55,956010104,55,1,1,M,BAU,Da,2,1,2,1,1.061054
56,956010104,56,1,1,M,BAU,Db,1,1,1,1,1.061054
57,956010104,57,1,1,M,BAU,E,2,1,2,1,1.061054
58,956010104,58,1,1,M,BAU,G,2,1,2,1,1.061054
59,956010104,59,1,1,M,BAU,H,3,1,3,1,1.061054
60,956010104,60,1,1,M,BAU,I,2,0,2,1,1.061054
61,956010104,61,1,1,M,BAU,J,0,1,1,1,1.061054
62,956010104,62,1,1,M,BAU,K,2,1,2,1,1.061054
63,956010104,63,1,1,M,BAU,L,H,0,1,1,1.061054
64,956010104,64,1,1,M,BAU,M,NA,0,NA,0,1.061054
65,956010104,65,1,1,M,BAU,N,NA,NA,H,0,1.061054
66,956010104,66,1,1,M,BAU,P,NA,NA,3,1,1.061054
67,956010104,67,1,1,M,BAU,Q,NA,NA,0,0,1.061054
68,956010104,68,1,1,M,BAU,U,NA,NA,1,0,1.061054
69,956010104,69,1,1,M,BAU,V,NA,NA,1,0,1.061054
70,956010104,70,1,1,M,BAU,X,NA,NA,2,1,1.061054
71,956010104,71,1,1,M,BAU,X15,NA,0,2,1,1.061054
72,956010104,72,1,1,M,BAU,X21,NA,NA,1,0,1.061054
73,956010104,73,1,1,M,BAU,X31.1,NA,NA,H,1,1.061054
74,956010104,74,1,1,M,BAU,X32,NA,NA,0,0,1.061054
75,956010104,75,1,1,M,BAU,X33,H,0,H,0,1.061054
76,956010104,76,1,1,M,BAU,X37,NA,NA,NA,0,1.061054
77,956010104,77,1,1,M,BAU,X50,NA,NA,1,0,1.061054
78,956010104,78,1,1,M,BAU,Z,NA,NA,H,0,1.061054
79,956010105,79,1,1,F,LT,B,H,0,H,1,0.4510759
80,956010105,80,1,1,F,LT,C,H,1,H,1,0.4510759
81,956010105,81,1,1,F,LT,Da,1,1,1,1,0.4510759
82,956010105,82,1,1,F,LT,Db,1,1,1,1,0.4510759
83,956010105,83,1,1,F,LT,E,1,1,1,1,0.4510759
84,956010105,84,1,1,F,LT,G,2,1,2,1,0.4510759
85,956010105,85,1,1,F,LT,H,3,1,3,1,0.4510759
86,956010105,86,1,1,F,LT,I,H,0,H,1,0.4510759
87,956010105,87,1,1,F,LT,J,1,1,1,1,0.4510759
88,956010105,88,1,1,F,LT,K,H,0,2,1,0.4510759
89,956010105,89,1,1,F,LT,L,H,0,H,0,0.4510759
90,956010105,90,1,1,F,LT,M,NA,NA,3,1,0.4510759
91,956010105,91,1,1,F,LT,N,NA,NA,H,1,0.4510759
92,956010105,92,1,1,F,LT,P,NA,NA,3,2,0.4510759
93,956010105,93,1,1,F,LT,Q,NA,NA,2,0,0.4510759
94,956010105,94,1,1,F,LT,U,NA,NA,1,0,0.4510759
95,956010105,95,1,1,F,LT,V,NA,NA,1,0,0.4510759
96,956010105,96,1,1,F,LT,X,NA,NA,2,0,0.4510759
97,956010105,97,1,1,F,LT,X15,NA,0,2,1,0.4510759
98,956010105,98,1,1,F,LT,X21,NA,NA,3,1,0.4510759
99,956010105,99,1,1,F,LT,X31.1,NA,NA,H,0,0.4510759
100,956010105,100,1,1,F,LT,X32,NA,NA,0,0,0.4510759
101,956010105,101,1,1,F,LT,X33,H,0,H,1,0.4510759
102,956010105,102,1,1,F,LT,X37,NA,NA,1,0,0.4510759
103,956010105,103,1,1,F,LT,X50,NA,NA,NA,0,0.4510759
104,956010105,104,1,1,F,LT,Z,NA,NA,NA,0,0.4510759
105,956010107,105,1,1,F,LT,B,H,1,H,1,0.0672402
106,956010107,106,1,1,F,LT,C,H,1,2,1,0.0672402
107,956010107,107,1,1,F,LT,Da,1,1,2,1,0.0672402
108,956010107,108,1,1,F,LT,Db,1,1,1,1,0.0672402
109,956010107,109,1,1,F,LT,E,1,1,2,1,0.0672402
110,956010107,110,1,1,F,LT,G,2,1,2,1,0.0672402
111,956010107,111,1,1,F,LT,H,1,0,3,1,0.0672402
112,956010107,112,1,1,F,LT,I,2,1,2,1,0.0672402
113,956010107,113,1,1,F,LT,J,1,1,2,1,0.0672402
114,956010107,114,1,1,F,LT,K,2,0,2,1,0.0672402
115,956010107,115,1,1,F,LT,L,H,0,2,0,0.0672402
116,956010107,116,1,1,F,LT,M,NA,0,2,1,0.0672402
117,956010107,117,1,1,F,LT,N,H,0,H,1,0.0672402
118,956010107,118,1,1,F,LT,P,3,1,3,1,0.0672402
119,956010107,119,1,1,F,LT,Q,0,0,0,0,0.0672402
120,956010107,120,1,1,F,LT,U,H,0,1,0,0.0672402
121,956010107,121,1,1,F,LT,V,NA,NA,1,0,0.0672402
122,956010107,122,1,1,F,LT,X,NA,NA,2,0,0.0672402
123,956010107,123,1,1,F,LT,X15,2,1,2,1,0.0672402
124,956010107,124,1,1,F,LT,X21,NA,NA,1,0,0.0672402
125,956010107,125,1,1,F,LT,X31.1,H,1,2,1,0.0672402
126,956010107,126,1,1,F,LT,X32,0,0,0,0,0.0672402
127,956010107,127,1,1,F,LT,X33,H,0,H,1,0.0672402
128,956010107,128,1,1,F,LT,X37,NA,0,3,1,0.0672402
129,956010107,129,1,1,F,LT,X50,H,0,0,0,0.0672402
130,956010107,130,1,1,F,LT,Z,NA,NA,0,1,0.0672402
131,956010108,131,1,1,F,LT,B,H,1,1,1,-0.3205247
132,956010108,132,1,1,F,LT,C,H,1,H,1,-0.3205247
133,956010108,133,1,1,F,LT,Da,1,1,2,1,-0.3205247
134,956010108,134,1,1,F,LT,Db,0,0,1,1,-0.3205247
135,956010108,135,1,1,F,LT,E,2,1,2,1,-0.3205247
136,956010108,136,1,1,F,LT,G,2,1,2,1,-0.3205247
137,956010108,137,1,1,F,LT,H,2,1,3,1,-0.3205247
138,956010108,138,1,1,F,LT,I,NA,0,H,0,-0.3205247
139,956010108,139,1,1,F,LT,J,0,1,0,1,-0.3205247
140,956010108,140,1,1,F,LT,K,2,0,2,1,-0.3205247
141,956010108,141,1,1,F,LT,L,H,0,H,1,-0.3205247
142,956010108,142,1,1,F,LT,M,NA,NA,2,1,-0.3205247
143,956010108,143,1,1,F,LT,N,NA,NA,H,1,-0.3205247
144,956010108,144,1,1,F,LT,P,NA,NA,3,2,-0.3205247
145,956010108,145,1,1,F,LT,Q,NA,NA,0,0,-0.3205247
146,956010108,146,1,1,F,LT,U,NA,NA,1,0,-0.3205247
147,956010108,147,1,1,F,LT,V,NA,NA,1,0,-0.3205247
148,956010108,148,1,1,F,LT,X,NA,NA,1,0,-0.3205247
149,956010108,149,1,1,F,LT,X15,H,0,H,0,-0.3205247
150,956010108,150,1,1,F,LT,X21,NA,NA,1,0,-0.3205247
151,956010108,151,1,1,F,LT,X31.1,NA,NA,2,1,-0.3205247
152,956010108,152,1,1,F,LT,X32,NA,NA,0,0,-0.3205247
153,956010108,153,1,1,F,LT,X33,H,0,2,0,-0.3205247
154,956010108,154,1,1,F,LT,X37,NA,NA,2,0,-0.3205247
155,956010108,155,1,1,F,LT,X50,NA,NA,0,0,-0.3205247
156,956010108,156,1,1,F,LT,Z,NA,NA,H,0,-0.3205247
157,956010109,157,1,1,F,REV,B,1,1,H,1,-0.2917069
158,956010109,158,1,1,F,REV,C,2,1,2,1,-0.2917069
159,956010109,159,1,1,F,REV,Da,2,1,2,1,-0.2917069
160,956010109,160,1,1,F,REV,Db,1,1,1,1,-0.2917069
161,956010109,161,1,1,F,REV,E,1,1,1,1,-0.2917069
162,956010109,162,1,1,F,REV,G,2,1,2,1,-0.2917069
163,956010109,163,1,1,F,REV,H,0,0,3,1,-0.2917069
164,956010109,164,1,1,F,REV,I,H,0,2,1,-0.2917069
165,956010109,165,1,1,F,REV,J,1,0,2,1,-0.2917069
166,956010109,166,1,1,F,REV,K,2,0,2,1,-0.2917069
167,956010109,167,1,1,F,REV,L,NA,NA,H,0,-0.2917069
168,956010109,168,1,1,F,REV,M,NA,NA,2,1,-0.2917069
169,956010109,169,1,1,F,REV,N,NA,NA,H,0,-0.2917069
170,956010109,170,1,1,F,REV,P,NA,NA,3,2,-0.2917069
171,956010109,171,1,1,F,REV,Q,NA,NA,0,0,-0.2917069
172,956010109,172,1,1,F,REV,U,NA,NA,1,1,-0.2917069
173,956010109,173,1,1,F,REV,V,NA,NA,2,1,-0.2917069
174,956010109,174,1,1,F,REV,X,NA,NA,1,0,-0.2917069
175,956010109,175,1,1,F,REV,X15,NA,NA,2,1,-0.2917069
176,956010109,176,1,1,F,REV,X21,NA,NA,3,1,-0.2917069
177,956010109,177,1,1,F,REV,X31.1,NA,NA,H,1,-0.2917069
178,956010109,178,1,1,F,REV,X32,NA,NA,0,0,-0.2917069
179,956010109,179,1,1,F,REV,X33,NA,NA,2,1,-0.2917069
180,956010109,180,1,1,F,REV,X37,NA,NA,2,0,-0.2917069
181,956010109,181,1,1,F,REV,X50,NA,NA,0,0,-0.2917069
182,956010109,182,1,1,F,REV,Z,NA,NA,0,0,-0.2917069
183,956010113,183,1,1,M,BAU,B,NA,0,1,1,1.538684
184,956010113,184,1,1,M,BAU,C,H,1,H,1,1.538684
185,956010113,185,1,1,M,BAU,Da,2,1,2,1,1.538684
186,956010113,186,1,1,M,BAU,Db,1,1,1,1,1.538684
187,956010113,187,1,1,M,BAU,E,2,1,2,1,1.538684
188,956010113,188,1,1,M,BAU,G,2,1,2,1,1.538684
189,956010113,189,1,1,M,BAU,H,3,1,3,1,1.538684
190,956010113,190,1,1,M,BAU,I,2,1,2,1,1.538684
191,956010113,191,1,1,M,BAU,J,NA,0,1,1,1.538684
192,956010113,192,1,1,M,BAU,K,2,0,2,1,1.538684
193,956010113,193,1,1,M,BAU,L,H,0,1,0,1.538684
194,956010113,194,1,1,M,BAU,M,NA,NA,1,0,1.538684
195,956010113,195,1,1,M,BAU,N,NA,NA,H,1,1.538684
196,956010113,196,1,1,M,BAU,P,NA,NA,3,1,1.538684
197,956010113,197,1,1,M,BAU,Q,NA,NA,0,0,1.538684
198,956010113,198,1,1,M,BAU,U,NA,NA,1,0,1.538684
199,956010113,199,1,1,M,BAU,V,NA,NA,1,0,1.538684
200,956010113,200,1,1,M,BAU,X,NA,NA,2,0,1.538684
201,956010113,201,1,1,M,BAU,X15,H,0,2,1,1.538684
202,956010113,202,1,1,M,BAU,X21,NA,NA,3,1,1.538684
203,956010113,203,1,1,M,BAU,X31.1,NA,NA,H,1,1.538684
204,956010113,204,1,1,M,BAU,X32,NA,NA,NA,0,1.538684
205,956010113,205,1,1,M,BAU,X33,NA,NA,H,0,1.538684
206,956010113,206,1,1,M,BAU,X37,NA,NA,1,0,1.538684
207,956010113,207,1,1,M,BAU,X50,NA,NA,NA,0,1.538684
208,956010113,208,1,1,M,BAU,Z,NA,NA,0,0,1.538684
209,956010301,209,1,3,F,LT,B,1,1,2,1,0.6400418
210,956010301,210,1,3,F,LT,C,H,1,H,1,0.6400418
211,956010301,211,1,3,F,LT,Da,1,1,2,1,0.6400418
212,956010301,212,1,3,F,LT,Db,1,1,1,1,0.6400418
213,956010301,213,1,3,F,LT,E,2,1,2,1,0.6400418
214,956010301,214,1,3,F,LT,G,2,1,2,1,0.6400418
215,956010301,215,1,3,F,LT,H,1,0,2,1,0.6400418
216,956010301,216,1,3,F,LT,I,2,1,2,1,0.6400418
217,956010301,217,1,3,F,LT,J,2,1,1,1,0.6400418
218,956010301,218,1,3,F,LT,K,2,1,2,1,0.6400418
219,956010301,219,1,3,F,LT,L,NA,0,2,1,0.6400418
220,956010301,220,1,3,F,LT,M,H,0,3,1,0.6400418
221,956010301,221,1,3,F,LT,N,NA,NA,2,1,0.6400418
222,956010301,222,1,3,F,LT,P,NA,NA,1,0,0.6400418
223,956010301,223,1,3,F,LT,Q,NA,NA,1,0,0.6400418
224,956010301,224,1,3,F,LT,U,NA,NA,0,1,0.6400418
225,956010301,225,1,3,F,LT,V,NA,NA,H,0,0.6400418
226,956010301,226,1,3,F,LT,X,NA,NA,1,0,0.6400418
227,956010301,227,1,3,F,LT,X15,NA,0,2,1,0.6400418
228,956010301,228,1,3,F,LT,X21,NA,NA,H,0,0.6400418
229,956010301,229,1,3,F,LT,X31.1,NA,NA,0,1,0.6400418
230,956010301,230,1,3,F,LT,X32,NA,NA,H,0,0.6400418
231,956010301,231,1,3,F,LT,X33,H,0,0,0,0.6400418
232,956010301,232,1,3,F,LT,X37,NA,NA,1,0,0.6400418
233,956010301,233,1,3,F,LT,X50,NA,NA,H,0,0.6400418
234,956010301,234,1,3,F,LT,Z,NA,NA,NA,0,0.6400418
235,956010304,235,1,3,F,BAU,B,1,1,1,1,0.0437785
236,956010304,236,1,3,F,BAU,C,2,1,H,1,0.0437785
237,956010304,237,1,3,F,BAU,Da,1,1,2,1,0.0437785
238,956010304,238,1,3,F,BAU,Db,1,1,1,1,0.0437785
239,956010304,239,1,3,F,BAU,E,1,1,2,1,0.0437785
240,956010304,240,1,3,F,BAU,G,2,1,2,1,0.0437785
241,956010304,241,1,3,F,BAU,H,2,1,2,1,0.0437785
242,956010304,242,1,3,F,BAU,I,H,0,H,0,0.0437785
243,956010304,243,1,3,F,BAU,J,1,1,1,1,0.0437785
244,956010304,244,1,3,F,BAU,K,H,0,NA,0,0.0437785
245,956010304,245,1,3,F,BAU,L,H,0,H,0,0.0437785
246,956010304,246,1,3,F,BAU,M,NA,0,NA,0,0.0437785
247,956010304,247,1,3,F,BAU,N,NA,NA,2,1,0.0437785
248,956010304,248,1,3,F,BAU,P,NA,NA,NA,NA,0.0437785
249,956010304,249,1,3,F,BAU,Q,NA,NA,NA,0,0.0437785
250,956010304,250,1,3,F,BAU,U,NA,NA,H,0,0.0437785
251,956010304,251,1,3,F,BAU,V,NA,NA,NA,0,0.0437785
252,956010304,252,1,3,F,BAU,X,NA,NA,H,0,0.0437785
253,956010304,253,1,3,F,BAU,X15,NA,0,NA,0,0.0437785
254,956010304,254,1,3,F,BAU,X21,NA,NA,NA,0,0.0437785
255,956010304,255,1,3,F,BAU,X31.1,NA,NA,H,0,0.0437785
256,956010304,256,1,3,F,BAU,X32,NA,NA,NA,0,0.0437785
257,956010304,257,1,3,F,BAU,X33,H,0,H,0,0.0437785
258,956010304,258,1,3,F,BAU,X37,NA,NA,NA,0,0.0437785
259,956010304,259,1,3,F,BAU,X50,NA,NA,NA,0,0.0437785
260,956010304,260,1,3,F,BAU,Z,NA,NA,NA,0,0.0437785
261,956010305,261,1,3,F,REV,B,1,1,H,1,-0.3900879
262,956010305,262,1,3,F,REV,C,H,1,H,1,-0.3900879
263,956010305,263,1,3,F,REV,Da,1,1,1,1,-0.3900879
264,956010305,264,1,3,F,REV,Db,1,1,1,1,-0.3900879
265,956010305,265,1,3,F,REV,E,1,1,1,1,-0.3900879
266,956010305,266,1,3,F,REV,G,H,0,2,1,-0.3900879
267,956010305,267,1,3,F,REV,H,H,0,1,1,-0.3900879
268,956010305,268,1,3,F,REV,I,H,0,1,1,-0.3900879
269,956010305,269,1,3,F,REV,J,H,0,2,1,-0.3900879
270,956010305,270,1,3,F,REV,K,H,0,2,1,-0.3900879
271,956010305,271,1,3,F,REV,L,NA,NA,2,0,-0.3900879
272,956010305,272,1,3,F,REV,M,NA,NA,1,0,-0.3900879
273,956010305,273,1,3,F,REV,N,NA,NA,H,0,-0.3900879
274,956010305,274,1,3,F,REV,P,NA,NA,H,0,-0.3900879
275,956010305,275,1,3,F,REV,Q,NA,NA,0,0,-0.3900879
276,956010305,276,1,3,F,REV,U,NA,NA,1,1,-0.3900879
277,956010305,277,1,3,F,REV,V,NA,NA,1,1,-0.3900879
278,956010305,278,1,3,F,REV,X,NA,NA,H,1,-0.3900879
279,956010305,279,1,3,F,REV,X15,NA,NA,1,1,-0.3900879
280,956010305,280,1,3,F,REV,X21,NA,NA,3,0,-0.3900879
281,956010305,281,1,3,F,REV,X31.1,NA,NA,0,0,-0.3900879
282,956010305,282,1,3,F,REV,X32,NA,NA,H,1,-0.3900879
283,956010305,283,1,3,F,REV,X33,NA,NA,2,1,-0.3900879
284,956010305,284,1,3,F,REV,X37,NA,NA,1,0,-0.3900879
285,956010305,285,1,3,F,REV,X50,NA,NA,H,0,-0.3900879
286,956010305,286,1,3,F,REV,Z,NA,NA,H,0,-0.3900879
287,956010307,287,1,3,F,LT,B,2,1,1,1,0.8851007
288,956010307,288,1,3,F,LT,C,2,1,2,1,0.8851007
289,956010307,289,1,3,F,LT,Da,2,1,2,1,0.8851007
290,956010307,290,1,3,F,LT,Db,1,1,1,1,0.8851007
291,956010307,291,1,3,F,LT,E,1,1,2,1,0.8851007
292,956010307,292,1,3,F,LT,G,2,1,2,1,0.8851007
293,956010307,293,1,3,F,LT,H,2,1,2,1,0.8851007
294,956010307,294,1,3,F,LT,I,2,1,2,1,0.8851007
295,956010307,295,1,3,F,LT,J,H,0,2,1,0.8851007
296,956010307,296,1,3,F,LT,K,NA,0,3,1,0.8851007
297,956010307,297,1,3,F,LT,L,1,0,1,0,0.8851007
298,956010307,298,1,3,F,LT,M,NA,NA,3,1,0.8851007
299,956010307,299,1,3,F,LT,N,NA,NA,2,1,0.8851007
300,956010307,300,1,3,F,LT,P,NA,NA,3,2,0.8851007
301,956010307,301,1,3,F,LT,Q,NA,NA,NA,0,0.8851007
302,956010307,302,1,3,F,LT,U,NA,NA,0,0,0.8851007
303,956010307,303,1,3,F,LT,V,NA,NA,1,0,0.8851007
304,956010307,304,1,3,F,LT,X,NA,NA,H,0,0.8851007
305,956010307,305,1,3,F,LT,X15,NA,0,2,1,0.8851007
306,956010307,306,1,3,F,LT,X21,NA,NA,NA,0,0.8851007
307,956010307,307,1,3,F,LT,X31.1,NA,NA,2,1,0.8851007
308,956010307,308,1,3,F,LT,X32,NA,NA,1,1,0.8851007
309,956010307,309,1,3,F,LT,X33,NA,NA,2,1,0.8851007
310,956010307,310,1,3,F,LT,X37,NA,NA,2,0,0.8851007
311,956010307,311,1,3,F,LT,X50,NA,NA,H,0,0.8851007
312,956010307,312,1,3,F,LT,Z,NA,NA,2,0,0.8851007
313,956010308,313,1,3,F,BAU,B,1,1,1,1,0.7838181
314,956010308,314,1,3,F,BAU,C,2,1,2,1,0.7838181
315,956010308,315,1,3,F,BAU,Da,1,1,1,1,0.7838181
316,956010308,316,1,3,F,BAU,Db,1,1,1,1,0.7838181
317,956010308,317,1,3,F,BAU,E,2,1,2,1,0.7838181
318,956010308,318,1,3,F,BAU,G,2,1,2,1,0.7838181
319,956010308,319,1,3,F,BAU,H,2,1,2,1,0.7838181
320,956010308,320,1,3,F,BAU,I,NA,0,H,0,0.7838181
321,956010308,321,1,3,F,BAU,J,2,1,1,1,0.7838181
322,956010308,322,1,3,F,BAU,K,NA,0,2,1,0.7838181
323,956010308,323,1,3,F,BAU,L,NA,0,H,0,0.7838181
324,956010308,324,1,3,F,BAU,M,NA,NA,2,1,0.7838181
325,956010308,325,1,3,F,BAU,N,NA,NA,H,1,0.7838181
326,956010308,326,1,3,F,BAU,P,NA,NA,H,0,0.7838181
327,956010308,327,1,3,F,BAU,Q,NA,NA,H,0,0.7838181
328,956010308,328,1,3,F,BAU,U,NA,NA,H,0,0.7838181
329,956010308,329,1,3,F,BAU,V,NA,NA,1,0,0.7838181
330,956010308,330,1,3,F,BAU,X,NA,NA,H,0,0.7838181
331,956010308,331,1,3,F,BAU,X15,NA,0,NA,0,0.7838181
332,956010308,332,1,3,F,BAU,X21,NA,NA,3,1,0.7838181
333,956010308,333,1,3,F,BAU,X31.1,NA,NA,0,0,0.7838181
334,956010308,334,1,3,F,BAU,X32,NA,NA,H,0,0.7838181
335,956010308,335,1,3,F,BAU,X33,NA,0,0,0,0.7838181
336,956010308,336,1,3,F,BAU,X37,NA,NA,2,0,0.7838181
337,956010308,337,1,3,F,BAU,X50,NA,NA,H,0,0.7838181
338,956010308,338,1,3,F,BAU,Z,NA,NA,H,0,0.7838181
339,956010309,339,1,3,M,REV,B,2,1,1,1,0.8068961
340,956010309,340,1,3,M,REV,C,H,1,2,1,0.8068961
341,956010309,341,1,3,M,REV,Da,2,1,2,1,0.8068961
342,956010309,342,1,3,M,REV,Db,1,1,1,1,0.8068961
343,956010309,343,1,3,M,REV,E,1,1,2,1,0.8068961
344,956010309,344,1,3,M,REV,G,2,1,2,1,0.8068961
345,956010309,345,1,3,M,REV,H,2,0,H,0,0.8068961
346,956010309,346,1,3,M,REV,I,H,0,H,0,0.8068961
347,956010309,347,1,3,M,REV,J,H,0,1,1,0.8068961
348,956010309,348,1,3,M,REV,K,H,0,H,0,0.8068961
349,956010309,349,1,3,M,REV,L,NA,NA,2,0,0.8068961
350,956010309,350,1,3,M,REV,M,NA,NA,1,1,0.8068961
351,956010309,351,1,3,M,REV,N,NA,NA,H,0,0.8068961
352,956010309,352,1,3,M,REV,P,NA,NA,1,0,0.8068961
353,956010309,353,1,3,M,REV,Q,NA,NA,0,0,0.8068961
354,956010309,354,1,3,M,REV,U,NA,NA,H,1,0.8068961
355,956010309,355,1,3,M,REV,V,NA,NA,1,0,0.8068961
356,956010309,356,1,3,M,REV,X,NA,NA,H,1,0.8068961
357,956010309,357,1,3,M,REV,X15,NA,NA,2,0,0.8068961
358,956010309,358,1,3,M,REV,X21,NA,NA,3,0,0.8068961
359,956010309,359,1,3,M,REV,X31.1,NA,NA,2,1,0.8068961
360,956010309,360,1,3,M,REV,X32,NA,NA,0,0,0.8068961
361,956010309,361,1,3,M,REV,X33,NA,NA,2,1,0.8068961
362,956010309,362,1,3,M,REV,X37,NA,NA,1,0,0.8068961
363,956010309,363,1,3,M,REV,X50,NA,NA,H,0,0.8068961
364,956010309,364,1,3,M,REV,Z,NA,NA,H,0,0.8068961
365,956010311,365,1,3,M,REV,B,1,1,H,1,0.6400418
366,956010311,366,1,3,M,REV,C,H,1,2,1,0.6400418
367,956010311,367,1,3,M,REV,Da,1,1,2,1,0.6400418
368,956010311,368,1,3,M,REV,Db,1,1,1,1,0.6400418
369,956010311,369,1,3,M,REV,E,2,1,1,1,0.6400418
370,956010311,370,1,3,M,REV,G,2,1,2,1,0.6400418
371,956010311,371,1,3,M,REV,H,3,1,1,1,0.6400418
372,956010311,372,1,3,M,REV,I,1,0,H,0,0.6400418
373,956010311,373,1,3,M,REV,J,1,0,2,1,0.6400418
374,956010311,374,1,3,M,REV,K,2,1,2,1,0.6400418
375,956010311,375,1,3,M,REV,L,H,1,2,0,0.6400418
376,956010311,376,1,3,M,REV,M,H,0,3,1,0.6400418
377,956010311,377,1,3,M,REV,N,NA,0,H,1,0.6400418
378,956010311,378,1,3,M,REV,P,3,1,3,1,0.6400418
379,956010311,379,1,3,M,REV,Q,H,0,0,0,0.6400418
380,956010311,380,1,3,M,REV,U,1,0,2,0,0.6400418
381,956010311,381,1,3,M,REV,V,NA,NA,1,0,0.6400418
382,956010311,382,1,3,M,REV,X,NA,NA,0,0,0.6400418
383,956010311,383,1,3,M,REV,X15,2,1,2,1,0.6400418
384,956010311,384,1,3,M,REV,X21,NA,NA,3,0,0.6400418
385,956010311,385,1,3,M,REV,X31.1,H,1,0,0,0.6400418
386,956010311,386,1,3,M,REV,X32,0,0,0,0,0.6400418
387,956010311,387,1,3,M,REV,X33,H,0,2,1,0.6400418
388,956010311,388,1,3,M,REV,X37,2,0,3,1,0.6400418
389,956010311,389,1,3,M,REV,X50,0,0,H,0,0.6400418
390,956010311,390,1,3,M,REV,Z,NA,NA,H,0,0.6400418
391,956010312,391,1,3,M,BAU,B,2,1,1,1,0.9719665
392,956010312,392,1,3,M,BAU,C,2,1,2,1,0.9719665
393,956010312,393,1,3,M,BAU,Da,2,1,2,1,0.9719665
394,956010312,394,1,3,M,BAU,Db,1,1,1,1,0.9719665
395,956010312,395,1,3,M,BAU,E,1,1,2,1,0.9719665
396,956010312,396,1,3,M,BAU,G,2,1,2,1,0.9719665
397,956010312,397,1,3,M,BAU,H,2,1,2,1,0.9719665
398,956010312,398,1,3,M,BAU,I,2,1,2,0,0.9719665
399,956010312,399,1,3,M,BAU,J,1,1,1,1,0.9719665
